TimeStamp,sensor_1_X [mT],sensor_1_Y [mT],sensor_1_Z [mT],sensor_2_X [mT],sensor_2_Y [mT],sensor_2_Z [mT],sensor_3_X [mT],sensor_3_Y [mT],sensor_3_Z [mT],sensor_4_X [mT],sensor_4_Y [mT],sensor_4_Z [mT],sensor_5_X [mT],sensor_5_Y [mT],sensor_5_Z [mT],sensor_6_X [mT],sensor_6_Y [mT],sensor_6_Z [mT],sensor_7_X [mT],sensor_7_Y [mT],sensor_7_Z [mT],sensor_8_X [mT],sensor_8_Y [mT],sensor_8_Z [mT],sensor_9_X [mT],sensor_9_Y [mT],sensor_9_Z [mT],sensor_10_X [mT],sensor_10_Y [mT],sensor_10_Z [mT],sensor_11_X [mT],sensor_11_Y [mT],sensor_11_Z [mT],sensor_12_X [mT],sensor_12_Y [mT],sensor_12_Z [mT],sensor_13_X [mT],sensor_13_Y [mT],sensor_13_Z [mT],sensor_14_X [mT],sensor_14_Y [mT],sensor_14_Z [mT],sensor_15_X [mT],sensor_15_Y [mT],sensor_15_Z [mT],sensor_16_X [mT],sensor_16_Y [mT],sensor_16_Z [mT]
2024-08-06T17:44:57.932090,-0.0010500000000000114,-0.005850000000000023,-0.004839999999999918,0.010800000000000011,-0.0019499999999999886,0.017424000000000207,-0.0017999999999999971,0.009149999999999998,-0.0019359999999999928,0.007049999999999997,0.0073499999999999946,0.002420000000000016,0.0031500000000000057,-0.0022500000000000003,0.013068000000000012,-0.007050000000000011,-0.00375,-5.684341886080802e-17,0.0,-0.004949999999999989,0.009438000000000018,0.0043499999999999945,-0.0022500000000000003,0.007986000000000019,-0.008100000000000022,0.0045000000000000005,0.0016940000000000169,0.010350000000000022,-0.010050000000000012,0.003630000000000024,-0.010649999999999998,-0.0025500000000000115,0.008954000000000007,-0.00015000000000000568,-0.0023999999999999772,0.010164000000000001,0.0020999999999999942,0.0011999999999999886,0.007986,0.0045000000000000005,-0.0025500000000000115,0.013067999999999998,-0.0034500000000000455,0.0073499999999999946,0.0036299999999999956,-0.004949999999999989,0.009300000000000011,-0.005807999999999879
2024-08-06T17:44:58.207244,-0.004050000000000011,0.0031499999999999775,1.1368683772161603e-16,0.0018000000000000114,0.0010500000000000114,-0.00677599999999984,-0.007799999999999997,0.0031499999999999987,-0.016456000000000002,-0.007950000000000002,0.010349999999999995,0.002420000000000016,0.0031500000000000057,0.00675,-0.01597199999999998,-0.007050000000000011,0.00525,0.01935999999999993,-0.009000000000000001,0.004050000000000011,-0.009921999999999997,0.010349999999999995,-0.01125,0.012826000000000021,0.0008999999999999773,-0.0015,0.0016940000000000169,-0.004649999999999977,0.0019499999999999886,0.008470000000000028,0.0043500000000000014,-0.0025500000000000115,0.0041140000000000326,-0.006150000000000006,0.0006000000000000227,0.010164000000000001,-0.003900000000000006,-0.010800000000000011,0.003146000000000001,0.0015,0.0034499999999999887,0.0033879999999999913,-0.0034500000000000455,0.0043499999999999945,0.013310000000000002,-0.007949999999999988,0.006300000000000011,-0.005807999999999879
2024-08-06T17:44:58.480001,0.0019499999999999886,-0.0028500000000000227,0.004840000000000032,-0.0011999999999999886,-0.004949999999999989,0.0029040000000002237,-0.0017999999999999971,-0.0028500000000000014,0.007744000000000014,-0.001950000000000003,0.0043499999999999945,-0.0024199999999999877,0.00015000000000000568,0.00375,-0.006292000000000002,0.0019499999999999886,0.0022500000000000003,-0.009680000000000064,-0.009000000000000001,0.004050000000000011,0.019117999999999996,0.0013499999999999944,0.00075,0.007986000000000019,0.006899999999999977,0.0015,0.011374000000000025,0.0013500000000000228,0.0019499999999999886,0.008470000000000028,0.016350000000000003,0.00044999999999998866,-0.010405999999999978,-0.012150000000000006,-0.008399999999999977,-0.004356000000000009,-0.0009000000000000057,-0.007800000000000012,-0.011373999999999999,0.0015,-0.00855000000000001,-0.0014519999999999982,0.008549999999999955,0.0043499999999999945,-0.006050000000000011,-0.0019499999999999886,0.00030000000000001136,-0.010647999999999911
2024-08-06T17:44:58.747453,-0.004050000000000011,0.00014999999999997727,0.004840000000000032,0.007800000000000012,0.004050000000000011,0.017424000000000207,0.007200000000000003,0.00014999999999999858,0.0029040000000000107,-0.007950000000000002,-0.007650000000000006,0.012100000000000008,0.018150000000000006,0.00675,-0.011131999999999977,-0.0010500000000000114,0.00525,0.004839999999999947,-0.006,-0.004949999999999989,0.0045980000000000135,-0.0016500000000000056,-0.01425,-0.011373999999999967,0.0008999999999999773,0.0015,0.0016940000000000169,-0.0016499999999999772,0.004949999999999989,0.008470000000000028,-0.0016499999999999987,0.00944999999999999,0.0041140000000000326,0.008849999999999995,-0.005399999999999978,0.0004839999999999947,0.005099999999999994,-0.0018000000000000114,0.003146000000000001,-0.0045000000000000005,0.006449999999999989,-0.006292000000000002,0.008549999999999955,0.0043499999999999945,0.018150000000000006,0.013050000000000011,0.0033000000000000113,-0.000967999999999904
2024-08-06T17:44:59.030481,-0.0010500000000000114,-0.005850000000000023,-0.004839999999999918,-0.0011999999999999886,0.0010500000000000114,0.007744000000000142,0.007200000000000003,0.009149999999999998,0.0029040000000000107,-0.001950000000000003,0.0043499999999999945,-0.007259999999999991,-0.0028499999999999945,-0.00525,-0.006292000000000002,-0.004050000000000011,0.00825,-0.009680000000000064,-0.003,-0.004949999999999989,-0.005081999999999994,-0.010650000000000007,0.00075,0.007986000000000019,0.0038999999999999773,-0.0135,0.011374000000000025,0.0013500000000000228,0.004949999999999989,-0.010889999999999986,-0.0016499999999999987,0.00044999999999998866,-0.02492599999999999,-0.0031500000000000057,-0.0023999999999999772,0.0004839999999999947,-0.009900000000000006,0.0041999999999999885,0.012826,-0.0015,-0.011550000000000012,-0.011132000000000005,-0.00045000000000004547,-0.0016500000000000056,0.008469999999999998,-0.004949999999999989,0.00030000000000001136,-0.015487999999999886
2024-08-06T17:44:59.299242,-0.0010500000000000114,-0.014850000000000023,-0.00967999999999995,0.0018000000000000114,-0.004949999999999989,0.0029040000000002237,0.001200000000000003,-0.008850000000000002,-0.016456000000000002,0.0010499999999999971,0.0013499999999999944,0.002420000000000016,-0.005849999999999994,-0.0022500000000000003,0.00822800000000001,-0.007050000000000011,0.00525,-0.00484000000000006,-0.003,-0.004949999999999989,-0.00024199999999999022,0.0013499999999999944,-0.00525,-0.0065339999999999634,-0.008100000000000022,0.0045000000000000005,0.0016940000000000169,0.0013500000000000228,-0.013050000000000011,0.003630000000000024,-0.007649999999999999,-0.0025500000000000115,-0.005565999999999975,0.008849999999999995,0.0006000000000000227,-0.014036000000000002,-0.0009000000000000057,0.0011999999999999886,-0.011373999999999999,0.0015,0.0034499999999999887,-0.0014519999999999982,0.008549999999999955,-0.0016500000000000056,0.0036299999999999956,0.007050000000000011,-0.002699999999999989,0.003872000000000128
2024-08-06T17:44:59.567474,-0.004050000000000011,0.00014999999999997727,0.019360000000000127,0.016800000000000013,-0.01094999999999999,0.0029040000000002237,-0.0017999999999999971,0.009149999999999998,0.012584000000000003,-0.001950000000000003,-0.007650000000000006,0.002420000000000016,-0.008849999999999995,0.00075,0.00822800000000001,0.004949999999999989,0.00525,0.004839999999999947,0.003,0.004050000000000011,-0.009921999999999997,-0.0016500000000000056,-0.00525,0.003146000000000015,0.0008999999999999773,0.0045000000000000005,0.0016940000000000169,0.004350000000000023,0.007949999999999988,0.01331000000000003,-0.007649999999999999,0.012449999999999989,-0.010405999999999978,-0.012150000000000006,-0.005399999999999978,-0.009195999999999998,-0.0009000000000000057,-0.010800000000000011,0.007986,0.0015,0.00044999999999998866,0.008227999999999994,0.011549999999999954,-0.007650000000000006,-0.010890000000000014,0.004050000000000011,0.009300000000000011,0.013552000000000078
2024-08-06T17:44:59.847771,0.0019499999999999886,0.0061499999999999775,-0.004839999999999918,0.004800000000000012,0.007050000000000011,0.007744000000000142,-0.013799999999999998,0.006149999999999998,-0.0019359999999999928,0.0010499999999999971,-0.007650000000000006,-0.007259999999999991,-0.008849999999999995,0.00675,-0.0014519999999999982,-0.007050000000000011,-0.00375,-5.684341886080802e-17,-0.006,0.0010500000000000114,0.0045980000000000135,0.0013499999999999944,0.00375,0.003146000000000015,-0.011100000000000023,0.0135,0.006534000000000021,-0.0016499999999999772,0.0019499999999999886,-0.006049999999999983,0.0013500000000000014,0.006449999999999989,-0.020085999999999986,0.008849999999999995,0.018600000000000023,-0.009195999999999998,-0.003900000000000006,-0.004800000000000012,-0.0016939999999999991,0.0045000000000000005,-0.0025500000000000115,-0.0014519999999999982,0.0025499999999999546,-0.016650000000000005,0.008469999999999998,0.0010500000000000114,0.012300000000000012,-0.005807999999999879
2024-08-06T17:45:00.127723,-0.007050000000000011,0.0031499999999999775,0.004840000000000032,-0.0011999999999999886,0.0010500000000000114,-0.001935999999999808,0.001200000000000003,-0.005850000000000002,0.007744000000000014,0.007049999999999997,0.0013499999999999944,-0.0024199999999999877,0.006150000000000006,0.00075,0.003388000000000005,-0.004050000000000011,-0.00975,0.014519999999999925,0.003,-0.0019499999999999886,0.0045980000000000135,0.0043499999999999945,-0.01425,-0.01621399999999997,-0.011100000000000023,-0.0165,-0.007985999999999962,0.0013500000000000228,0.0019499999999999886,-0.006049999999999983,0.0043500000000000014,0.0034499999999999887,-0.010405999999999978,0.008849999999999995,0.0066000000000000225,-0.014036000000000002,0.0020999999999999942,0.0041999999999999885,0.003146000000000001,0.0045000000000000005,0.0034499999999999887,-0.006292000000000002,-0.006450000000000046,-0.0016500000000000056,0.0036299999999999956,0.007050000000000011,-0.008699999999999989,0.003872000000000128
2024-08-06T17:45:00.402822,0.007949999999999988,0.0031499999999999775,-0.014519999999999868,0.010800000000000011,0.010050000000000012,-0.001935999999999808,0.004200000000000003,0.00014999999999999858,0.0029040000000000107,0.0010499999999999971,-0.0016500000000000056,0.002420000000000016,0.0031500000000000057,0.012750000000000001,0.013068000000000012,-0.0010500000000000114,0.01425,0.004839999999999947,0.003,0.0010500000000000114,0.01427800000000002,-0.004650000000000006,-0.01425,0.007986000000000019,-0.002100000000000023,-0.0105,0.02105400000000003,-0.0016499999999999772,-0.0010500000000000114,-0.006049999999999983,0.019350000000000003,0.00044999999999998866,-0.010405999999999978,-0.00015000000000000568,0.0006000000000000227,0.0004839999999999947,-0.0009000000000000057,0.0041999999999999885,0.012826,-0.0045000000000000005,0.00044999999999998866,-0.006292000000000002,0.0025499999999999546,-0.004650000000000006,0.008469999999999998,-0.0019499999999999886,-0.002699999999999989,-0.000967999999999904
2024-08-06T17:45:00.676981,-0.007050000000000011,0.015149999999999978,0.009680000000000064,-0.0041999999999999885,0.0010500000000000114,0.007744000000000142,0.007200000000000003,0.0031499999999999987,0.0029040000000000107,-0.004950000000000003,0.0013499999999999944,-0.01209999999999998,-0.0028499999999999945,0.00675,-0.011131999999999977,-0.004050000000000011,-0.00075,0.009679999999999921,0.0,0.007050000000000011,-0.00024199999999999022,0.0073499999999999946,0.00075,0.012826000000000021,0.0008999999999999773,0.0045000000000000005,0.011374000000000025,0.004350000000000023,0.013949999999999988,0.003630000000000024,0.0013500000000000014,0.006449999999999989,0.01379400000000004,-0.0031500000000000057,0.0006000000000000227,-0.014036000000000002,-0.003900000000000006,0.010199999999999989,0.012826,-0.0045000000000000005,-0.0055500000000000115,-0.011132000000000005,-0.00045000000000004547,-0.007650000000000006,-0.001210000000000008,-0.0019499999999999886,0.006300000000000011,0.003872000000000128
2024-08-06T17:45:00.948329,0.004949999999999989,0.0061499999999999775,0.004840000000000032,0.010800000000000011,0.0010500000000000114,0.0029040000000002237,0.001200000000000003,0.00014999999999999858,-0.011616,-0.001950000000000003,0.0013499999999999944,-0.01209999999999998,0.00015000000000000568,-0.00525,-0.01597199999999998,0.0019499999999999886,-0.00675,-5.684341886080802e-17,-0.006,0.007050000000000011,-0.00024199999999999022,0.0043499999999999945,-0.00825,0.003146000000000015,-0.005100000000000023,-0.0105,0.016214000000000027,0.0013500000000000228,0.0019499999999999886,0.01331000000000003,-0.0016499999999999987,0.00044999999999998866,-0.010405999999999978,0.014849999999999995,-0.005399999999999978,0.005323999999999998,-0.006900000000000006,-0.004800000000000012,-0.006533999999999999,-0.0225,0.00944999999999999,-0.011132000000000005,-0.009450000000000045,0.0043499999999999945,-0.010890000000000014,-0.007949999999999988,0.01830000000000001,0.013552000000000078
2024-08-06T17:45:01.214237,0.0019499999999999886,0.012149999999999977,-0.0193599999999999,-0.0041999999999999885,-0.01094999999999999,0.0029040000000002237,0.001200000000000003,-0.0028500000000000014,0.02226400000000001,-0.007950000000000002,-0.010650000000000007,-0.007259999999999991,0.006150000000000006,0.00075,-0.006292000000000002,-0.004050000000000011,-0.00075,-5.684341886080802e-17,0.0,0.0010500000000000114,-0.00024199999999999022,0.0073499999999999946,0.00075,-0.011373999999999967,0.012899999999999977,-0.0075,0.0016940000000000169,0.007350000000000023,0.007949999999999988,0.01331000000000003,0.0073500000000000015,0.012449999999999989,-0.015245999999999982,-0.006150000000000006,-0.008399999999999977,0.010164000000000001,0.0020999999999999942,0.0071999999999999885,0.003146000000000001,0.0045000000000000005,-0.0025500000000000115,-0.006292000000000002,0.0025499999999999546,-0.0016500000000000056,0.008469999999999998,0.004050000000000011,0.00030000000000001136,-0.015487999999999886
2024-08-06T17:45:01.495957,-0.007050000000000011,0.0031499999999999775,0.009680000000000064,-0.0071999999999999885,-0.01094999999999999,0.012584000000000173,-0.004799999999999997,0.0031499999999999987,0.012584000000000003,-0.001950000000000003,0.0043499999999999945,-0.01209999999999998,0.006150000000000006,-0.00525,-0.0014519999999999982,-0.004050000000000011,0.00825,-5.684341886080802e-17,0.003,0.007050000000000011,0.023958,0.0043499999999999945,0.00375,-0.00169399999999996,0.009899999999999978,-0.0015,-0.0031459999999999865,-0.007649999999999977,0.004949999999999989,0.008470000000000028,0.010350000000000002,-0.0025500000000000115,0.0041140000000000326,-0.0031500000000000057,0.0066000000000000225,0.015004000000000005,-0.006900000000000006,-0.010800000000000011,0.003146000000000001,-0.0015,0.0034499999999999887,-0.0014519999999999982,0.008549999999999955,-0.0016500000000000056,0.008469999999999998,0.007050000000000011,0.0033000000000000113,0.008712000000000103
2024-08-06T17:45:01.774728,-0.0010500000000000114,0.0031499999999999775,1.1368683772161603e-16,0.004800000000000012,-0.0019499999999999886,0.0029040000000002237,0.004200000000000003,-0.008850000000000002,0.012584000000000003,-0.004950000000000003,0.0043499999999999945,0.00726000000000002,0.009150000000000005,-0.00525,0.003388000000000005,-0.0010500000000000114,0.00525,-5.684341886080802e-17,0.012,0.004050000000000011,0.009438000000000018,-0.004650000000000006,0.00075,-0.0065339999999999634,0.0008999999999999773,0.0045000000000000005,0.0016940000000000169,0.010350000000000022,-0.0010500000000000114,0.003630000000000024,0.0013500000000000014,0.0034499999999999887,-0.010405999999999978,-0.012150000000000006,-0.0023999999999999772,0.005323999999999998,-0.006900000000000006,0.0011999999999999886,-0.0016939999999999991,0.0015,0.0034499999999999887,-0.011132000000000005,-0.00045000000000004547,0.0043499999999999945,0.013310000000000002,0.004050000000000011,0.0033000000000000113,-0.010647999999999911
2024-08-06T17:45:02.047947,-0.007050000000000011,0.0031499999999999775,-0.00967999999999995,-0.0011999999999999886,0.0010500000000000114,-0.00677599999999984,-0.004799999999999997,-0.008850000000000002,0.0029040000000000107,0.013049999999999997,-0.0016500000000000056,-0.016939999999999983,0.009150000000000005,0.00375,-0.0014519999999999982,-0.004050000000000011,-0.00375,-5.684341886080802e-17,0.0,-0.0019499999999999886,0.01427800000000002,0.019349999999999996,-0.01125,0.012826000000000021,0.0008999999999999773,0.0105,0.0016940000000000169,-0.0016499999999999772,0.007949999999999988,-0.010889999999999986,-0.004649999999999999,-0.0025500000000000115,-0.0007259999999999707,0.008849999999999995,0.0006000000000000227,0.0004839999999999947,-0.015900000000000004,0.0071999999999999885,-0.0016939999999999991,-0.0075,0.006449999999999989,-0.0014519999999999982,0.005549999999999954,0.0013499999999999944,0.008469999999999998,0.004050000000000011,0.0033000000000000113,0.003872000000000128
2024-08-06T17:45:02.323499,-0.010050000000000012,-0.0028500000000000227,-0.014519999999999868,0.010800000000000011,0.007050000000000011,0.007744000000000142,-0.0017999999999999971,0.009149999999999998,-0.011616,0.0010499999999999971,0.0013499999999999944,-0.01209999999999998,-0.005849999999999994,0.00375,0.003388000000000005,-0.013050000000000011,0.00825,0.014519999999999925,0.0,0.0010500000000000114,0.009438000000000018,0.010349999999999995,0.00975,-0.00169399999999996,0.015899999999999977,0.0045000000000000005,0.02105400000000003,-0.0016499999999999772,0.01094999999999999,-0.0012099999999999795,-0.004649999999999999,-0.0025500000000000115,-0.005565999999999975,-0.00015000000000000568,0.0066000000000000225,0.010164000000000001,-0.003900000000000006,0.0011999999999999886,0.007986,0.0045000000000000005,0.01544999999999999,0.008227999999999994,-0.00045000000000004547,0.0073499999999999946,0.0036299999999999956,-0.004949999999999989,0.00030000000000001136,-0.005807999999999879
